0.00		0.00		0.00		1607.50		500.00	
25.00		0.00		0.00		1607.50		579.50	
50.00		0.00		0.00		1598.50		653.50	
75.00		0.00		0.00		1583.50		723.50	
100.00		0.00		0.00		1563.50		786.00	
125.00		0.00		0.00		1540.00		841.50	
150.00		0.00		0.00		1578.50		506.50	
175.00		0.00		0.00		1578.00		590.50	
0.00		25.00		0.00		1568.50		669.00	
25.00		25.00		0.00		1551.00		742.00	
50.00		25.00		0.00		1529.50		807.50	
75.00		25.00		0.00		1505.00		865.50	
100.00		25.00		0.00		1540.50		514.00	
125.00		25.00		0.00		1539.50		603.50	
150.00		25.00		0.00		1527.50		687.50	
175.00		25.00		0.00		1510.50		762.50	
0.00		50.00		0.00		1487.00		829.50	
25.00		50.00		0.00		1462.50		887.00	
50.00		50.00		0.00		1491.00		523.00	
75.00		50.00		0.00		1489.00		617.50	
100.00		50.00		0.00		1478.50		705.00	
125.00		50.00		0.00		1458.50		782.50	
150.00		50.00		0.00		1437.00		850.00	
175.00		50.00		0.00		1411.50		907.00	
0.00		75.00		0.00		1428.00		532.50	
25.00		75.00		0.00		1427.50		631.00	
50.00		75.00		0.00		1415.50		721.50	
75.00		75.00		0.00		1397.00		801.50	
100.00		75.00		0.00		1375.50		870.00	
125.00		75.00		0.00		1352.00		924.00	
150.00		75.00		0.00		1350.50		542.50	
175.00		75.00		0.00		1350.50		644.00	
0.00		100.00		0.00		1341.00		736.50	
25.00		100.00		0.00		1325.00		817.00	
50.00		100.00		0.00		1305.50		884.00	
75.00		100.00		0.00		1285.00		937.00	
100.00		100.00		0.00		1261.00		551.00	
125.00		100.00		0.00		1261.00		654.00	
150.00		100.00		0.00		1255.50		747.50	
175.00		100.00		0.00		1242.50		826.50	
0.00		125.00		0.00		1228.00		892.50	
25.00		125.00		0.00		1212.50		944.00	
50.00		125.00		0.00		1163.00		559.50	
75.00		125.00		0.00		1165.50		660.50	
100.00		125.00		0.00		1162.50		752.00	
125.00		125.00		0.00		1155.50		829.50	
150.00		125.00		0.00		1148.00		893.50	
175.00		125.00		0.00		1136.50		944.50	
